,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,expirationDate,dte,T,option_type
57,AAPL250214P00100000,2025-02-07 15:46:34+00:00,100.0,0.01,0.0,0.0,0.0,0.0,500.0,0.0,0.500005,False,REGULAR,USD,2025-02-14,3,0.00821917808219178,Put
58,AAPL250214P00110000,2025-02-07 18:16:02+00:00,110.0,0.01,0.0,0.0,0.0,0.0,1.0,0.0,0.500005,False,REGULAR,USD,2025-02-14,3,0.00821917808219178,Put
59,AAPL250214P00120000,2025-02-07 16:30:21+00:00,120.0,0.01,0.0,0.0,0.0,0.0,34.0,0.0,0.500005,False,REGULAR,USD,2025-02-14,3,0.00821917808219178,Put
60,AAPL250214P00130000,2025-02-07 16:00:28+00:00,130.0,0.02,0.0,0.0,0.0,0.0,2.0,0.0,0.500005,False,REGULAR,USD,2025-02-14,3,0.00821917808219178,Put
61,AAPL250214P00140000,2025-02-07 19:50:51+00:00,140.0,0.01,0.0,0.0,0.0,0.0,1.0,0.0,0.500005,False,REGULAR,USD,2025-02-14,3,0.00821917808219178,Put
62,AAPL250214P00145000,2025-02-05 18:02:05+00:00,145.0,0.01,0.0,0.0,0.0,0.0,6.0,0.0,0.500005,False,REGULAR,USD,2025-02-14,3,0.00821917808219178,Put
63,AAPL250214P00150000,2025-02-07 19:50:45+00:00,150.0,0.01,0.0,0.0,0.0,0.0,1.0,0.0,0.500005,False,REGULAR,USD,2025-02-14,3,0.00821917808219178,Put
64,AAPL250214P00155000,2025-02-07 18:22:06+00:00,155.0,0.01,0.0,0.0,0.0,0.0,50.0,0.0,0.500005,False,REGULAR,USD,2025-02-14,3,0.00821917808219178,Put
65,AAPL250214P00160000,2025-02-07 20:52:43+00:00,160.0,0.01,0.0,0.0,0.0,0.0,19.0,0.0,0.500005,False,REGULAR,USD,2025-02-14,3,0.00821917808219178,Put
66,AAPL250214P00165000,2025-02-07 18:48:34+00:00,165.0,0.01,0.0,0.0,0.0,0.0,112.0,0.0,0.500005,False,REGULAR,USD,2025-02-14,3,0.00821917808219178,Put
67,AAPL250214P00170000,2025-02-07 20:38:41+00:00,170.0,0.02,0.0,0.0,0.0,0.0,1053.0,0.0,0.500005,False,REGULAR,USD,2025-02-14,3,0.00821917808219178,Put
